a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;Packing eff
235.61;235.61;235.61;2.318;1;0.8;1;1;1;60449600;80.39;0.5610050653
229.86;229.86;229.86;2.261;1;0.6;1;1;1;60449600;92.83;0.6041713761
223.81;223.81;223.81;2.202;1;0.4;1;1;1;60449600;129.1;0.6544989425
225.25;225.25;225.25;2.216;0.8;1;1;1;1;60449600;205.942688;0.6420280057
216.32;216.32;216.32;2.128;0.8;0.6;1;1;1;60449600;363.6409912;0.7248684974
211.45;211.45;211.45;2.08;0.8;0.4;1;1;1;60449600;505.3387146;0.7761161922
212.62;212.62;212.62;2.092;0.6;1;1;1;1;60449600;633.7081299;0.7633689525
209.34;209.34;209.34;2.06;0.6;0.8;1;1;1;60449600;683.0874023;0.7998130677
202.12;202.12;202.12;1.988;0.6;0.4;1;1;1;60449600;1137.062622;0.8886348944
203.12;203.12;203.12;1.998;0.4;1;1;1;1;60449600;1611.882568;0.8755725239
200.88;200.88;200.88;1.976;0.4;0.8;1;1;1;60449600;1744.737793;0.9051902586
198.48;198.48;198.48;1.953;0.4;0.6;1;1;1;60449600;1867.73584;0.9384167778
163.36;163.36;490.09;2.068;1;0.8;1;1;3;60449600;365.96;0.5610232466
159.38;159.38;478.13;2.018;1;0.6;1;1;3;60449600;612.17;0.6041322538
155.18;155.18;465.54;1.964;1;0.4;1;1;3;60449600;1080.288696;0.6545193736
156.18;156.18;468.54;1.977;0.8;1;1;1;3;60449600;71.2780838;0.6420240371
149.99;149.99;449.96;1.899;0.8;0.6;1;1;3;60449600;1117.893311;0.7248495305
146.61;146.61;439.84;1.856;0.8;0.4;1;1;3;60449600;1802.233887;0.7761147951
147.42;147.42;442.26;1.866;0.6;1;1;1;3;60449600;226.95;0.7634121768
145.15;145.15;435.44;1.837;0.6;0.8;1;1;3;60449600;836.8668823;0.7998139185
140.14;140.14;420.42;1.774;0.6;0.4;1;1;3;60449600;2887.665771;0.8886707888
140.84;140.84;422.51;1.783;0.4;1;1;1;3;60449600;681.79;0.8755046215
139.28;139.28;417.85;1.763;0.4;0.8;1;1;3;60449600;1053.072632;0.9052143627
137.62;137.62;412.85;1.742;0.4;0.6;1;1;3;60449600;2218.527832;0.9384125044
241.09;241.09;241.09;2.372;1;1;1;1;1;60449600;54.26379776;0.5236123585
167.16;167.16;501.49;2.116;1;1;1;1;3;60449600;68.36826324;0.5236266871
140.99;140.99;704.96;1.894;1;1;1;1;5;60449600;66.67876434;0.5236083036
167.16;501.49;167.16;2.116;1;1;1;3;1;60449600;69.4113;0.5236266871
115.91;347.72;347.72;2.056;1;1;1;3;3;60449600;675.91;0.5235601423
97.76;293.27;488.79;1.886;1;1;1;3;5;60449600;1712.861;0.5235969912
140.99;704.96;140.99;1.894;1;1;1;5;1;60449600;70.536;0.5236083036
97.76;488.79;293.27;1.886;1;1;1;5;3;60449600;1769.714;0.5235969912
82.45;412.26;412.26;1.744;1;1;1;5;5;60449600;3021.505;0.5236163838
347.72;347.72;115.91;2.056;1;1;3;3;1;60449600;676.5844727;0.5235601423
241.09;241.09;241.09;2.372;1;1;3;3;3;60449600;54.26379776;0.5236123585
203.35;203.35;338.91;2.309;1;1;3;3;5;60449600;66.97772217;0.5235700544
293.27;488.79;97.76;1.886;1;1;3;5;1;60449600;1715.187378;0.5235969912
203.35;338.91;203.35;2.309;1;1;3;5;3;60449600;66.55012;0.5235700544
171.51;285.85;285.85;2.302;1;1;3;5;5;60449600;294.7391968;0.52357682
412.26;412.26;82.45;1.744;1;1;5;5;1;60449600;2759.616699;0.5236163838
285.85;285.85;171.51;2.302;1;1;5;5;3;60449600;108.8723145;0.52357682
241.09;241.09;241.09;2.372;1;1;5;5;5;60449600;54.26379776;0.5236123585
220.91;220.91;220.91;2.173;0.8;0.8;1;1;1;60449600;220.2859955;0.6806189173
153.17;153.17;459.5;1.939;0.8;0.8;1;1;3;60449600;592.4876709;0.6806363685
129.19;129.19;645.93;1.735;0.8;0.8;1;1;5;60449600;923.609375;0.6806249278
153.17;459.5;153.17;1.939;0.8;0.8;1;3;1;60449600;606.122;0.6806363685
106.2;318.6;318.6;1.884;0.8;0.8;1;3;3;60449600;982.9130249;0.6806585915
89.57;268.72;447.86;1.728;0.8;0.8;1;3;5;60449600;1641.609375;0.6806811055
129.19;645.93;129.19;1.735;0.8;0.8;1;5;1;60449600;1016.311584;0.6806249278
89.57;447.86;268.72;1.728;0.8;0.8;1;5;3;60449600;1632.946167;0.6806811055
75.55;377.74;377.74;1.598;0.8;0.8;1;5;5;60449600;2405.986816;0.6806534849
318.6;318.6;106.2;1.884;0.8;0.8;3;3;1;60449600;988.3245239;0.6806585915
220.91;220.91;220.91;2.173;0.8;0.8;3;3;3;60449600;220.2859955;0.6806189173
186.32;186.32;310.53;2.116;0.8;0.8;3;3;5;60449600;320.5846252;0.6806483786
268.72;447.86;89.57;1.728;0.8;0.8;3;5;1;60449600;1695.746094;0.6806811055
186.32;310.53;186.32;2.116;0.8;0.8;3;5;3;60449600;464.0230408;0.6806483786
157.15;261.91;261.91;2.109;0.8;0.8;3;5;5;60449600;422.2973022;0.6806582244
377.74;377.74;75.55;1.598;0.8;0.8;5;5;1;60449600;2232.407227;0.6806534849
261.91;261.91;157.15;2.109;0.8;0.8;5;5;3;60449600;424.2346802;0.6806582244
220.91;220.91;220.91;2.173;0.8;0.8;5;5;5;60449600;220.2859955;0.6806189173
205.85;205.85;205.85;2.025;0.6;0.6;1;1;1;60449600;726.5847168;0.8411949519
142.73;142.73;428.19;1.807;0.6;0.6;1;1;3;60449600;1639.167725;0.8411625836
120.38;120.38;601.91;1.617;0.6;0.6;1;1;5;60449600;2127.038574;0.84121777
142.73;428.19;142.73;1.807;0.6;0.6;1;3;1;60449600;1676.16;0.8411625836
98.96;296.89;296.89;1.755;0.6;0.6;1;3;3;60449600;2882.988037;0.8411990843
83.47;250.41;417.34;1.61;0.6;0.6;1;3;5;60449600;4441.3;0.8411602884
120.38;601.91;120.38;1.617;0.6;0.6;1;5;1;60449600;2863.79;0.84121777
83.47;417.34;250.41;1.61;0.6;0.6;1;5;3;60449600;4438.57;0.8411602884
70.4;352;352;1.489;0.6;0.6;1;5;5;60449600;6305.5;0.841180496
296.89;296.89;98.96;1.755;0.6;0.6;3;3;1;60449600;2901.32;0.8411990843
205.85;205.85;205.85;2.025;0.6;0.6;3;3;3;60449600;726.58;0.8411949519
173.62;173.62;289.37;1.971;0.6;0.6;3;3;5;60449600;1002.78;0.8411962608
250.41;417.34;83.47;1.61;0.6;0.6;3;5;1;60449600;4456.2;0.8411602884
173.62;289.37;173.62;1.971;0.6;0.6;3;5;3;60449600;1005.63;0.8411962608
146.44;244.06;244.06;1.965;0.6;0.6;3;5;5;60449600;1304.77;0.8411945112
352;352;70.4;1.489;0.6;0.6;5;5;1;60449600;6350.05;0.841180496
244.06;244.06;146.44;1.965;0.6;0.6;5;5;3;60449600;1311.7;0.8411945112
205.85;205.85;205.85;2.025;0.6;0.6;5;5;5;60449600;726.5847168;0.8411949519
195.87;195.87;195.87;1.927;0.4;0.4;1;1;1;60449600;1994.6875;0.9764372602
135.81;135.81;407.44;1.719;0.4;0.4;1;1;3;60449600;3597.05;0.9763887473
114.55;114.55;572.74;1.539;0.4;0.4;1;1;5;60449600;3181.658;0.9763338992
135.81;407.44;135.81;1.719;0.4;0.4;1;3;1;60449600;3648.52;0.9763887473
94.17;282.5;282.5;1.67;0.4;0.4;1;3;3;60449600;7111.92;0.9763379821
79.42;238.27;397.12;1.532;0.4;0.4;1;3;5;60449600;9446.62;0.9764030187
114.55;572.74;114.55;1.539;0.4;0.4;1;5;1;60449600;3244.13;0.9763338992
79.42;397.12;238.27;1.532;0.4;0.4;1;5;3;60449600;9466.67;0.9764030187
66.99;334.94;334.94;1.417;0.4;0.4;1;5;5;60449600;14976.01;0.9763419707
282.5;282.5;94.17;1.67;0.4;0.4;3;3;1;60449600;7149.88;0.9763379821
195.87;195.87;195.87;1.927;0.4;0.4;3;3;3;60449600;1996.05;0.9764372602
165.21;165.21;275.35;1.876;0.4;0.4;3;3;5;60449600;2547.8;0.9763136499
238.27;397.12;79.42;1.532;0.4;0.4;3;5;1;60449600;9753.28;0.9764030187
165.21;275.35;165.21;1.876;0.4;0.4;3;5;3;60449600;2643.135986;0.9763136499
139.34;232.24;232.24;1.87;0.4;0.4;3;5;5;60449600;3398.015625;0.9763332086
334.94;334.94;66.99;1.417;0.4;0.4;5;5;1;60449600;15065.08984;0.9763419707
232.24;232.24;139.34;1.87;0.4;0.4;5;5;3;60449600;3418.529053;0.9763332086
195.87;195.87;195.87;1.927;0.4;0.4;5;5;5;60449600;1994.6875;0.9764372602
